BroadCategories,NicheCategories,CRIIndicators,SearchTerm,Hits,Kelly Search,
Economy & Society,Security & Law,Effect crime deterent systems,crime deterrent,0,,
Economy & Society,Security & Law,Effect crime deterent systems,drime deterrent systems,0,,
Economy & Society,Security & Law,Effect crime deterent systems,deterrent systems,0,,
Economy & Society,Security & Law,Effect crime deterent systems,effective deterrent,0,,
Economy & Society,Security & Law,Effect crime deterent systems,proactive justice,0,,
Economy & Society,Security & Law,Effect crime deterent systems,transparent justice,0,,
Economy & Society,Security & Law,Effect crime deterent systems,transparent,0,,
Economy & Society,Security & Law,Effect crime deterent systems,justice,1,7,
Economy & Society,Security & Law,Effect crime deterent systems,crime deterrence,0,,
Economy & Society,Security & Law,Effect crime deterent systems,criminal defense,0,,
Economy & Society,Security & Law,Effect crime deterent systems,public safety,12,6,
Economy & Society,Security & Law,Effect crime deterent systems,safety,19,,
Economy & Society,Security & Law,Proactive corruption prevention,proactive corruption prevention,0,,
Economy & Society,Security & Law,Proactive corruption prevention,corruption,0,,
Economy & Society,Security & Law,Proactive corruption prevention,corruption prevention,0,,
Economy & Society,Security & Law,Competent Policing,competent policing,0,,
Economy & Society,Security & Law,Competent Policing,policing,0,1,
Economy & Society,Security & Law,Competent Policing,police,16,17,
Economy & Society,Security & Law,Accessible criminal & civil justice,accessible,0,,
Economy & Society,Security & Law,Accessible criminal & civil justice,criminal justice,9,3,
Economy & Society,Security & Law,Accessible criminal & civil justice,civil justice,0,,
Economy & Society,Collective ID & Cohesion,,collective identification & cohesion,0,,
Economy & Society,Collective ID & Cohesion,,collective identification and cohesion,0,,
Economy & Society,Collective ID & Cohesion,,collective,0,,
Economy & Society,Collective ID & Cohesion,,identification,0,,
Economy & Society,Collective ID & Cohesion,,cohesion,0,,
Economy & Society,Collective ID & Cohesion,Local community support,local community support,0,,
Economy & Society,Collective ID & Cohesion,Local community support,community support,0,,
Economy & Society,Collective ID & Cohesion,Local community support,local community,0,,
Economy & Society,Collective ID & Cohesion,Local community support,local,0,,
Economy & Society,Collective ID & Cohesion,Local community support,active engagement,0,,
Economy & Society,Collective ID & Cohesion,Cohesive communities,cohesive communities,0,,
Economy & Society,Collective ID & Cohesion,Cohesive communities,cohesive,0,,
Economy & Society,Collective ID & Cohesion,Cohesive communities,communities,0,,
Economy & Society,Collective ID & Cohesion,Cohesive communities,community,11,404,
Economy & Society,Collective ID & Cohesion,Cohesive communities,cohesion,0,,
Economy & Society,Collective ID & Cohesion,Strong ID & Culture,strong identification & culture,0,,
Economy & Society,Collective ID & Cohesion,Strong ID & Culture,strong identification and culture,0,,
Economy & Society,Collective ID & Cohesion,Strong ID & Culture,strong identification,0,,
Economy & Society,Collective ID & Cohesion,Strong ID & Culture,identification,0,,
Economy & Society,Collective ID & Cohesion,Strong ID & Culture,culture,7,26,
Economy & Society,Collective ID & Cohesion,Strong ID & Culture,strong culture,0,,
Economy & Society,Collective ID & Cohesion,Actively engaged citizens,actively,0,,
Economy & Society,Collective ID & Cohesion,Actively engaged citizens,engaged,0,,
Economy & Society,Collective ID & Cohesion,Actively engaged citizens,engaged citizens,0,,
Economy & Society,Collective ID & Cohesion,Actively engaged citizens,citizens,0,,
Economy & Society,Collective ID & Cohesion,,shared identity,0,,
Economy & Society,Collective ID & Cohesion,,social responsibiltiy,0,,
Economy & Society,Collective ID & Cohesion,,society,2,,
Economy & Society,Collective ID & Cohesion,,social vulnerablility,0,1,
Economy & Society,Collective ID & Cohesion,,social capital,0,,
Economy & Society,Collective ID & Cohesion,,community development,84,9,
Infrastructure & Ecosystems,Reliable Mobility & Communication,,reliable,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,,mobility,9,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,,communication,47,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,,reliable mobility,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,,reliable communication,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,secure tech networks,technology,19,34,
Infrastructure & Ecosystems,Reliable Mobility & Communication,secure tech networks,networks,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,secure tech networks,secure technology,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,secure tech networks,secure networks,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,secure tech networks,secure technology networks,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,secure tech networks,information technology,6,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,secure tech networks,technology security,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,secure tech networks,information security,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,,secure network,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,,secure networks,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,reliable communications technology ,reliable communications technology ,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,effective transit operation & maintenance,effective transit,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,effective transit operation & maintenance,transit operation,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,effective transit operation & maintenance,transit maintenance,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,effective transit operation & maintenance,maintenance,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,diverse & affordable transit networks,diverse transit,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,diverse & affordable transit networks,affordable transit,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,diverse & affordable transit networks,transit,6,68,
Infrastructure & Ecosystems,Reliable Mobility & Communication,diverse & affordable transit networks,transit network,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,diverse & affordable transit networks,transit networks,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,diverse & affordable transit networks,accessible transit,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,diverse & affordable transit networks,well-maintained transit,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,diverse & affordable transit networks,multimodal,0,105,
Infrastructure & Ecosystems,Reliable Mobility & Communication,diverse & affordable transit networks,multimodal transit,0,,
Infrastructure & Ecosystems,Reliable Mobility & Communication,diverse & affordable transit networks,transportation,208,106,
Infrastructure & Ecosystems,Reliable Mobility & Communication,diverse & affordable transit networks,traffic safety,0,1,
Infrastructure & Ecosystems,Effective Provision of Critical Services,continuity of utility services for critical assets & services ,continuity,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,continuity of utility services for critical assets & services ,utilities,1,7,
Infrastructure & Ecosystems,Effective Provision of Critical Services,continuity of utility services for critical assets & services ,utility services,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,continuity of utility services for critical assets & services ,critical assets,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,continuity of utility services for critical assets & services ,critical services,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,diligent maintenance & continuity ,diligent maintenance,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,diligent maintenance & continuity ,maintenance,0,25,
Infrastructure & Ecosystems,Effective Provision of Critical Services,retained spare capacity,retained capacity,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,spare capacity,spare capacity,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,flexible infrastructure,infrastructure,3,78,
Infrastructure & Ecosystems,Effective Provision of Critical Services,flexible infrastructure,flexible infrastructure,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,Effective stewardship of ecosystem,effective stewardship,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,Effective stewardship of ecosystem,ecosystem stewardship,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,Effective stewardship of ecosystem,ecosystem,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,Effective stewardship of ecosystem,stewardship,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,,redundancy,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,,flexible services,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,,natural infrastructure,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,,green infrastructure,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,,natural resources,11,10,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,,reduced exposure,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,,fragility,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,hazard mapping,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,exposure mapping,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,maps,0,22,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,mapping,12,21,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,climate change,28,12,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,extreme weather,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,infectious disease,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,disease,0,4,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,natural hazards,0,1,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,hazard,0,7,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,man made,0,1,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,man-made hazards,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,chronic hazards,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,chronic,0,16,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,acute hazards,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,land use change,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,wildfires,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,fire,1,20,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,drought,0,2,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,heat,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,flood,2,25,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,avalanche,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,mudslide,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,landslide,0,1,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,tornado,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,hurricane,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,tsunami,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,earthquake,0,1,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,erosion,0,5,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,hail,0,4,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,sea level,0,1,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,sea level rise,1,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,wind,1,20,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,winter weather,2,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,weather,0,5,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,storm surge,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Hazard & exposure mapping,subsidence,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,"Appropriate codes, standards, & enforcement ",appropriate codes,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,"Appropriate codes, standards, & enforcement ",code enforcement,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,"Appropriate codes, standards, & enforcement ",appropriate standards,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,"Appropriate codes, standards, & enforcement ",appropriate enforcement,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Robust protective infrastructure,robust infrastructure,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,Robust protective infrastructure,protective infrastructure,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,Well managed protective ecosystems,ecosystem,0,17,
Infrastructure & Ecosystems,Effective Provision of Critical Services,Well managed protective ecosystems,managed ecosystems,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,,codes,0,3,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,,standards,0,16,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,,enforcement,0,6,
Infrastructure & Ecosystems,Effective Provision of Critical Services,,protective ecosystems,0,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,,air,0,69,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,,water,119,163,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,,soil,4,14,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,,restoration,1,20,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,,redevelopment,0,39,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,,reclamation,0,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,,ecosystem services,1,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,,debris,,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,,reuse,,,
Infrastructure & Ecosystems,Effective Provision of Critical Services,,recycle ,,,
Infrastructure & Ecosystems,Reduced Exposure & Fragility,,brownfields,,,
Health & Wellbeing,Minimum Human Vulnerability ,,wellbeing,0,,
Health & Wellbeing,Minimum Human Vulnerability ,,vulnerability,0,,
Health & Wellbeing,Minimum Human Vulnerability ,,public health,141,19,
Health & Wellbeing,Minimum Human Vulnerability ,,minimize vulnerability,0,,
Health & Wellbeing,Minimum Human Vulnerability ,safe & affordable housing,safe housing,0,,
Health & Wellbeing,Minimum Human Vulnerability ,safe & affordable housing,housing,147,90,
Health & Wellbeing,Minimum Human Vulnerability ,safe & affordable housing,affordable housing,13,,16
Health & Wellbeing,Minimum Human Vulnerability ,safe & affordable housing,housing development,4,3,
Health & Wellbeing,Minimum Human Vulnerability ,adequate affordable energy supply ,affordable energy,0,,
Health & Wellbeing,Minimum Human Vulnerability ,adequate affordable energy supply ,energy supply,0,,
Health & Wellbeing,Minimum Human Vulnerability ,adequate affordable energy supply ,adequate energy,0,,
Health & Wellbeing,Minimum Human Vulnerability ,effective sanitation,effective sanitation,0,,
Health & Wellbeing,Minimum Human Vulnerability ,effective sanitation,sanitation,0,,
Health & Wellbeing,Minimum Human Vulnerability ,effective sanitation,safe water,0,,
Health & Wellbeing,Minimum Human Vulnerability ,effective sanitation,safe drinking water,0,,
Health & Wellbeing,Minimum Human Vulnerability ,sufficient affordable food supply,food,37,44,
Health & Wellbeing,Minimum Human Vulnerability ,sufficient affordable food supply,food supply,0,,
Health & Wellbeing,Minimum Human Vulnerability ,sufficient affordable food supply,production,0,12,
Health & Wellbeing,Minimum Human Vulnerability ,sufficient affordable food supply,affordable food,0,,
Health & Wellbeing,Minimum Human Vulnerability ,sufficient affordable food supply,affordable food supply,0,,
Health & Wellbeing,Minimum Human Vulnerability ,sufficient affordable food supply,sufficient food,0,,
Health & Wellbeing,Minimum Human Vulnerability ,sufficient affordable food supply,food access,6,,
Health & Wellbeing,Minimum Human Vulnerability ,sufficient affordable food supply,food production,0,,
Health & Wellbeing,Minimum Human Vulnerability ,inclusive access to safe drinking water,access,2,,
Health & Wellbeing,Minimum Human Vulnerability ,inclusive access to safe drinking water,access to water,0,,
Health & Wellbeing,Diverse Livelihood & Employment,,diverse livelihood,0,,
Health & Wellbeing,Diverse Livelihood & Employment,,diverse employment,0,,
Health & Wellbeing,Diverse Livelihood & Employment,,jobs,0,13,
Health & Wellbeing,Diverse Livelihood & Employment,,workforce,4,16,
Health & Wellbeing,Diverse Livelihood & Employment,Inclusive labour policies,labor,0,119,
Health & Wellbeing,Diverse Livelihood & Employment,Inclusive labour policies,protective labor,0,,
Health & Wellbeing,Diverse Livelihood & Employment,Inclusive labour policies,protective labour,0,,
Health & Wellbeing,Diverse Livelihood & Employment,Inclusive labour policies,labor policies,0,,
Health & Wellbeing,Diverse Livelihood & Employment,Inclusive labour policies,labour policies,0,,
Health & Wellbeing,Diverse Livelihood & Employment,Inclusive labour policies,inclusive labor,0,,
Health & Wellbeing,Diverse Livelihood & Employment,Inclusive labour policies,inclusive labour,0,,
Health & Wellbeing,Diverse Livelihood & Employment,relevant skills & training,relevant skills,0,,
Health & Wellbeing,Diverse Livelihood & Employment,relevant skills & training,relevant training,0,,
Health & Wellbeing,Diverse Livelihood & Employment,relevant skills & training,training,1,24,
Health & Wellbeing,Diverse Livelihood & Employment,relevant skills & training,skills,0,16,
Health & Wellbeing,Diverse Livelihood & Employment,relevant skills & training,accessible skills,0,,
Health & Wellbeing,Diverse Livelihood & Employment,relevant skills & training,skill development,0,1,
Health & Wellbeing,Diverse Livelihood & Employment,relevant skills & training,accessible training,0,,
Health & Wellbeing,Diverse Livelihood & Employment,local biz dev & innovation,innovation,3,,
Health & Wellbeing,Diverse Livelihood & Employment,,local business development,0,,
Health & Wellbeing,Diverse Livelihood & Employment,,business development,0,8,
Health & Wellbeing,Diverse Livelihood & Employment,,business innovation,0,,
Health & Wellbeing,Diverse Livelihood & Employment,supportive financing mechanisms,financing,1,,
Health & Wellbeing,Diverse Livelihood & Employment,,supportive financing,0,,
Health & Wellbeing,Diverse Livelihood & Employment,,financing mechanisms,0,,
Health & Wellbeing,Diverse Livelihood & Employment,diverse protection of livelihoods following crisis,livelihoods,0,,
Health & Wellbeing,Diverse Livelihood & Employment,diverse protection of livelihoods following crisis,protection of livelihoods,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,,safeguards,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,,effective safeguards,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,,safeguarding health,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,,health and life,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,Robust public health systems ,public health systems,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,Robust public health systems ,robust health systems,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,Robust public health systems ,health systems,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,Robust public health systems ,public healthcare,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,Robust public health systems ,healthcare,3,12,
Health & Wellbeing,Effective Safeguards for Health & Life,Robust public health systems ,access to healthcare,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,,healthcare access,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,Adequate access to quality healthcare ,adequate healthcare,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,,quality healthcare,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,Emergency Medical Care ,emergency care,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,Emergency Medical Care ,emergency medical,0,3,
Health & Wellbeing,Effective Safeguards for Health & Life,Emergency Medical Care ,medical care,0,,
Health & Wellbeing,Effective Safeguards for Health & Life,Effective emergency response services,emergency,1,23,
Health & Wellbeing,Effective Safeguards for Health & Life,Effective emergency response services,emergency response,1,,
Health & Wellbeing,Effective Safeguards for Health & Life,Effective emergency response services,emergency services,2,1,
Health & Wellbeing,Effective Safeguards for Health & Life,Effective emergency response services,effective emergency services,0,,
Leadership & Strategy,Integrated Dev Planning,,development planning,0,,
Leadership & Strategy,Integrated Dev Planning,,integrated planning,0,,
Leadership & Strategy,Integrated Dev Planning,City monitoring & data management,city monitoring,0,,
Leadership & Strategy,Integrated Dev Planning,City monitoring & data management,data management,0,,
Leadership & Strategy,Integrated Dev Planning,City monitoring & data management,monitoring,0,,
Leadership & Strategy,Integrated Dev Planning,City monitoring & data management,transparent,0,,
Leadership & Strategy,Integrated Dev Planning,City monitoring & data management,planning,191,183,
Leadership & Strategy,Integrated Dev Planning,City monitoring & data management,planning approval,0,,
Leadership & Strategy,Integrated Dev Planning,Consultative planning process,consultative planning,0,,
Leadership & Strategy,Integrated Dev Planning,Appropriate land use & zoning,land use,9,55,
Leadership & Strategy,Integrated Dev Planning,Appropriate land use & zoning,zoning,0,10,
Leadership & Strategy,Integrated Dev Planning,Appropriate land use & zoning,appropriate land use,0,,
Leadership & Strategy,Integrated Dev Planning,Appropriate land use & zoning,appropriate zoning,0,,
Leadership & Strategy,Integrated Dev Planning,Robust planning approval process,robust planning,0,,
Leadership & Strategy,Integrated Dev Planning,Robust planning approval process,robust approval,0,,
Leadership & Strategy,Empowered Stakeholders,,stakeholder,0,50,
Leadership & Strategy,Empowered Stakeholders,,empowered stakeholders,0,,
Leadership & Strategy,Empowered Stakeholders,Education for all,education for all,0,,
Leadership & Strategy,Empowered Stakeholders,Education for all,education,57,78,
Leadership & Strategy,Empowered Stakeholders,Education for all,comprehensive education,0,,
Leadership & Strategy,Empowered Stakeholders,Widespread community awareness & preparedness,community awareness,1,3,
Leadership & Strategy,Empowered Stakeholders,Widespread community awareness & preparedness,preparedness,0,5,
Leadership & Strategy,Empowered Stakeholders,Widespread community awareness & preparedness,community preparedness,0,,
Leadership & Strategy,Empowered Stakeholders,Widespread community awareness & preparedness,engagement,0,,
Leadership & Strategy,Empowered Stakeholders,Widespread community awareness & preparedness,community engagement,89,21,
Leadership & Strategy,Empowered Stakeholders,Widespread community awareness & preparedness,government engagement,0,,
Leadership & Strategy,Empowered Stakeholders,Widespread community awareness & preparedness,mechanisms for engagement,0,,
Leadership & Strategy,Empowered Stakeholders,Widespread community awareness & preparedness,funding,0,46,
Leadership & Strategy,Empowered Stakeholders,Widespread community awareness & preparedness,funding mechanisms,0,4,
Leadership & Strategy,Effective Leadership & Management ,,leadership,1,,
Leadership & Strategy,Effective Leadership & Management ,,strategy,0,,
Leadership & Strategy,Effective Leadership & Management ,,effective leadership,0,,
Leadership & Strategy,Effective Leadership & Management ,,effective management,0,,
Leadership & Strategy,Effective Leadership & Management ,appropriate government decision-making ,government decision-making,0,,
Leadership & Strategy,Effective Leadership & Management ,appropriate government decision-making ,decision-making,0,7,
Leadership & Strategy,Effective Leadership & Management ,appropriate government decision-making ,governance,2,5,
Leadership & Strategy,Effective Leadership & Management ,effective coordination w/other gov bodies,effective coordination,0,,
Leadership & Strategy,Effective Leadership & Management ,effective coordination w/other gov bodies,government bodies,0,,
Leadership & Strategy,Effective Leadership & Management ,proactive multi-stakeholder collaboration,collaboration,0,55,
Leadership & Strategy,Effective Leadership & Management ,proactive multi-stakeholder collaboration,proactive collaboration,0,,
Leadership & Strategy,Effective Leadership & Management ,effective coordination w/other gov bodies,coordinated collaboration,0,,
Leadership & Strategy,Effective Leadership & Management ,effective coordination w/other gov bodies,intergovernment,0,6,
Leadership & Strategy,Effective Leadership & Management ,effective coordination w/other gov bodies,intergovernment coordination,0,,
Leadership & Strategy,Effective Leadership & Management ,proactive multi-stakeholder collaboration,multi-stakeholder collaboration,0,,
Leadership & Strategy,Effective Leadership & Management ,comprehensive govt emergency management,emergency management,6,7,
Leadership & Strategy,Effective Leadership & Management ,comprehensive govt emergency management,comprehensive management,0,,
Leadership & Strategy,Effective Leadership & Management ,comprehensive hazard monitoring & risk assessment ,monitoring,0,7,
Leadership & Strategy,Effective Leadership & Management ,comprehensive hazard monitoring & risk assessment ,hazard monitoring,0,,
Leadership & Strategy,Effective Leadership & Management ,comprehensive govt emergency management,risk assessment,0,2,
Leadership & Strategy,Effective Leadership & Management ,comprehensive govt emergency management,loss,0,,
Misc,,,resilient,,,
Misc,,,resilience,,,
